item,item_gr
4 Piece Chicken McNuggets, 4 Κομμάτια Κοτόπουλο ΜακΝάγκετς
6 Piece Chicken McNuggets, 6 Κομμάτια Κοτόπουλο ΜακΝάγκετς
10 Piece Chicken McNuggets, 10 Κομμάτια Κοτόπουλο ΜακΝάγκετς
20 Piece Chicken McNuggets, 20 Κομμάτια Κοτόπουλο ΜακΝάγκετς
40 piece Chicken McNuggets, 40 Κομμάτια Κοτόπουλο ΜακΝάγκετς
4 piece Sweet N' Spicy Honey BBQ Glazed Tenders, 4 Κομμάτια Γλυκά και Καυτερά Τέντερς με Γλάσο BBQ
6 piece Sweet N' Spicy Honey BBQ Glazed Tenders, 6 Κομμάτια Γλυκά και Καυτερά Τέντερς με Γλάσο BBQ
10 piece Sweet N' Spicy Honey BBQ Glazed Tenders, 10 Κομμάτια Γλυκά και Καυτερά Τέντερς με Γλάσο BBQ
Premium Asian Salad w/o Chicken, Πριμ Ασιατική Σαλάτα χωρίς Κοτόπουλο
Premium Asian Salad w/ Grilled Chicken, Πριμ Ασιατική Σαλάτα με Ψητό Κοτόπουλο
Premium Asian Salad w/ Crispy Chicken, Πριμ Ασιατική Σαλάτα με Τραγανό Κοτόπουλο
Premium Bacon Ranch Salad w/o Chicken, Πριμ Σαλάτα Μπέικον Ραντς χωρίς Κοτόπουλο
Premium Bacon Ranch Salad w/ Grilled Chicken, Πριμ Σαλάτα Μπέικον Ραντς με Ψητό Κοτόπουλο
Premium Bacon Ranch Salad w/ Crispy Chicken, Πριμ Σαλάτα Μπέικον Ραντς με Τραγανό Κοτόπουλο
Premium Southwest Salad w/o Chicken, Πριμ Νοτιοδυτική Σαλάτα χωρίς Κοτόπουλο
Premium Southwest Salad w/ Grilled Chicken, Πριμ Νοτιοδυτική Σαλάτα με Ψητό Κοτόπουλο
Premium Southwest Salad w/ Crispy Chicken, Πριμ Νοτιοδυτική Σαλάτα με Τραγανό Κοτόπουλο
Chargrilled Chicken Club Sandwich, Ψητό Σάντουιτς Κοτόπουλο Κλαμπ
Chargrilled Chicken Sandwich, Ψητό Σάντουιτς Κοτόπουλο
Chick-n-Slider, Σλάιντερ Κοτόπουλο
1 Piece Chick-n-Strips, 1 Κομμάτι Κοτόπουλο Στριπς
2 Piece Chick-n-Strips, 2 Κομμάτια Κοτόπουλο Στριπς
3 Piece Chick-n-Strips, 3 Κομμάτια Κοτόπουλο Στριπς
4 piece Chick-n-Strips, 4 Κομμάτια Κοτόπουλο Στριπς
Chicken Deluxe, Κοτόπουλο Ντελούξ
4 piece Chicken Nuggets, 4 Κομμάτια Κοτόπουλο Νάγκετς
6 piece Chicken Nuggets, 6 Κομμάτια Κοτόπουλο Νάγκετς
8 piece Chicken Nuggets, 8 Κομμάτια Κοτόπουλο Νάγκετς
12 piece Chicken Nuggets, 12 Κομμάτια Κοτόπουλο Νάγκετς
30 piece Chicken Nuggets, 30 Κομμάτια Κοτόπουλο Νάγκετς
Chicken Salad Sandwich, Σάντουιτς Σαλάτα Κοτόπουλο
Chicken Sandwich, Σάντουιτς Κοτόπουλο
4 Piece Grilled Chicken Nuggets, 4 Κομμάτια Ψητά Κοτόπουλο Νάγκετς
6 Piece Grilled Chicken Nuggets, 6 Κομμάτια Ψητά Κοτόπουλο Νάγκετς
8 piece Grilled Chicken Nuggets, 8 Κομμάτια Ψητά Κοτόπουλο Νάγκετς
12 Piece Grilled Chicken Nuggets, 12 Κομμάτια Ψητά Κοτόπουλο Νάγκετς
Spicy Grilled Chicken Sub Sandwich, Καυτερό Ψητό Σάντουιτς Κοτόπουλο Σαμπ
Regular Grilled Chicken Sub Sandwich, Κανονικό Ψητό Σάντουιτς Κοτόπουλο Σαμπ
Smokehouse BBQ Bacon Sandwich, Σάντουιτς Σμόκχαουζ Μπέικον BBQ
Spicy Chicken Sandwich, Καυτερό Σάντουιτς Κοτόπουλο
Spicy Deluxe, Καυτερό Ντελούξ
Chargrilled Chicken Cool Wrap, Δροσερό Γουράπ με Ψητό Κοτόπουλο
Chicken Enchiladas Meal Kit, Κιτ Γεύματος Εντσιλάδας Κοτόπουλο
Chicken Parmesan Meal Kit, Κιτ Γεύματος Κοτόπουλο Παρμεζάνα
Hatch Green Chile Cheeseburger, Τσίζμπεργκερ με Πράσινο Τσίλι Hatch
Jalapeno Burger, Μπέργκερ Χαλαπένιο
Jr. Burger, Μπέργκερ Τζούνιορ
Jr. Chili Cheeseburger, Τσίζμπεργκερ Τσίλι Τζούνιορ
Jr. Deluxe Burger, Μπέργκερ Ντελούξ Τζούνιορ
Jr. Deluxe Cheeseburger, Τσίζμπεργκερ Ντελούξ Τζούνιορ
Jr. Double Cheeseburger, Διπλό Τσίζμπεργκερ Τζούνιορ
Sonic Bacon Cheeseburger (w/mayo), Τσίζμπεργκερ Μπέικον Sonic (με Μαγιονέζα)
Sonic Burger W/ Mustard, Μπέργκερ Sonic με Μουστάρδα
Sonic Burger W/ Ketchup, Μπέργκερ Sonic με Κέτσαπ
Sonic Burger W/ Mayonnaise, Μπέργκερ Sonic με Μαγιονέζα
Sonic Cheeseburger W/ Mustard, Τσίζμπεργκερ Sonic με Μουστάρδα
Sonic Cheeseburger W/ Ketchup, Τσίζμπεργκερ Sonic με Κέτσαπ
Sonic Cheeseburger W/ Mayonnaise, Τσίζμπεργκερ Sonic με Μαγιονέζα
Super Sonic Bacon Double Cheeseburger (w/mayo), Διπλό Τσίζμπεργκερ Μπέικον Super Sonic (με Μαγιονέζα)
Super Sonic Double Cheeseburger W/ Mustard, Διπλό Τσίζμπεργκερ Super Sonic με Μουστάρδα
Super Sonic Double Cheeseburger W/ Ketchup, Διπλό Τσίζμπεργκερ Super Sonic με Κέτσαπ
Super Sonic Double Cheeseburger W/ Mayo, Διπλό Τσίζμπεργκερ Super Sonic με Μαγιονέζα
Super Sonic Jalapeno Double Cheeseburger, Διπλό Τσίζμπεργκερ Χαλαπένιο Super Sonic
Veggie Burger W/ Ketchup, Μπέργκερ Λαχανικών με Κέτσαπ
Veggie Burger With Mustard, Μπέργκερ Λαχανικών με Μουστάρδα
Veggie Burger W/ Mustard, Μπέργκερ Λαχανικών με Μουστάρδα
Grilled Asiago Caesar Chicken Club Sandwich, Ψητό Σάντουιτς Κοτόπουλο Κλαμπ με Ασιάγκο Σίζαρ
Crispy Asiago Caesar Chicken Club Sandwich, Τραγανό Σάντουιτς Κοτόπουλο Κλαμπ με Ασιάγκο Σίζαρ
Grilled Chicken Sandwich, Ψητό Σάντουιτς Κοτόπουλο
Crispy Chicken Sandwich, Τραγανό Σάντουιτς Κοτόπουλο
Chicken Strip Sandwich, Σάντουιτς Κοτόπουλο Στριπς
3 Piece Crispy Chicken Tender Dinner, Δείπνο με 3 Κομμάτια Τραγανό Κοτόπουλο Τέντερς
5 Piece Crispy Chicken Tender Dinner, Δείπνο με 5 Κομμάτια Τραγανό Κοτόπουλο Τέντερς
Deluxe Ultimate Chicken Sandwich, Σάντουιτς Κοτόπουλο Ντελούξ Ούλτιμεϊτ
Buffalo Dunked Ultimate Chicken Sandwich, Σάντουιτς Κοτόπουλο Ούλτιμεϊτ με Μπάφαλο Σάλτσα
Garlic Parmesan Dunked Ultimate Chicken Sandwich, Σάντουιτς Κοτόπουλο Ούλτιμεϊτ με Σκόρδο και Παρμεζάνα
Small Jumbo Popcorn Chicken, Μικρό Ποπκόρν Κοτόπουλο Τζάμπο
Large Jumbo Popcorn Chicken, Μεγάλο Ποπκόρν Κοτόπουλο Τζάμπο
Small Spicy Jumbo Popcorn Chicken, Μικρό Καυτερό Ποπκόρν Κοτόπουλο Τζάμπο
Large Spicy Jumbo Popcorn Chicken, Μεγάλο Καυτερό Ποπκόρν Κοτόπουλο Τζάμπο
3 Piece Super Crunch Chicken Strip Dinner, Δείπνο με 3 Κομμάτια Κοτόπουλο Στριπς Super Crunch
4 Piece Super Crunch Chicken Strip Dinner, Δείπνο με 4 Κομμάτια Κοτόπουλο Στριπς Super Crunch
5 Piece Super Crunch Chicken Strip Dinner, Δείπνο με 5 Κομμάτια Κοτόπουλο Στριπς Super Crunch
3 Piece Super Crunch Chicken Strips, 3 Κομμάτια Κοτόπουλο Στριπς Super Crunch
4 Piece Super Crunch Chicken Strips, 4 Κομμάτια Κοτόπουλο Στριπς Super Crunch
5 Piece Super Crunch Chicken Strips, 5 Κομμάτια Κοτόπουλο Στριπς Super Crunch
Traditional Ultimate Chicken Sandwich, Παραδοσιακό Σάντουιτς Κοτόπουλο Ούλτιμεϊτ
Ultimate Chicken Club, Σάντουιτς Κοτόπουλο Κλαμπ Ούλτιμεϊτ
All Beef All-american Style Dog – 6", Χοτ Ντογκ Όλο Βοδινό Αμερικάνικου Στυλ – 6"
All Beef Chicago Dog – 6", Χοτ Ντογκ Σικάγο Όλο Βοδινό – 6"
All Beef Chili Cheese Coney – 6", Χοτ Ντογκ Κόνι με Τσίλι και Τυρί – 6"
All Beef New York Dog – 6", Χοτ Ντογκ Νέας Υόρκης Όλο Βοδινό – 6"
All Beef Regular Hot Dog – 6", Κανονικό Χοτ Ντογκ Όλο Βοδινό – 6"
Cheesy Bacon Pretzel Dog - 6 In., Χοτ Ντογκ Πρέτσελ με Τυρί και Μπέικον - 6 Ίντσες
Corn Dog, Κορν Ντογκ
Footlong Quarter Pound Coney, Χοτ Ντογκ Κόνι Τέταρτου του Πάουντ Φούτλονγκ
The Original Pretzel Dog, Το Αυθεντικό Πρέτσελ Ντογκ
Arby's Melt, Λιώμα Arby's
Arby-Q Sandwich, Σάντουιτς Arby-Q
Beef 'n Cheddar Classic, Κλασικό Μοσχάρι με Τσένταρ
Beef 'n Cheddar Mid, Μοσχάρι με Τσένταρ Μέσο
Bourbon BBQ Brisket Sandwich, Σάντουιτς Μπρίσκετ Μπορμπόν BBQ
Bourbon BBQ Chicken Sandwich, Σάντουιτς Κοτόπουλο Μπορμπόν BBQ
Bourbon BBQ Steak Sandwich, Σάντουιτς Στέικ Μπορμπόν BBQ
Buttermilk Buffalo Chicken Sandwich, Σάντουιτς Κοτόπουλο Μπάφαλο με Βουτυρόγαλα
Buttermilk Chicken Bacon & Swiss, Σάντουιτς Κοτόπουλο με Μπέικον και Σουίς με Βουτυρόγαλα
Buttermilk Chicken Cordon Bleu Sandwich, Σάντουιτς Κόρντον Μπλε Κοτόπουλο με Βουτυρόγαλα
Buttermilk Crispy Chicken Sandwich, Τραγανό Σάντουιτς Κοτόπουλο με Βουτυρόγαλα
Classic French Dip & Swiss/Au Jus, Κλασικό French Dip με Σουίς/Αου Ζους
Classic Roast Beef, Κλασικό Ψητό Βοδινό
Double Roast Beef, Διπλό Ψητό Βοδινό
Fire-Roasted Philly Steak, Ψητό Στέικ Φιλαδέλφειας
Grand Turkey Club, Σάντουιτς Κλαμπ Γαλοπούλας Γκραν
Greek Gyro, Ελληνικό Γύρος
Half Pound Beef 'n Cheddar Sandwich, Σάντουιτς Μισού Πάουντ Βοδινό με Τσένταρ
Half Pound French Dip & Swiss, Μισό Πάουντ French Dip με Σουίς
Half Pound Roast Beef Sandwich, Σάντουιτς Μισού Πάουντ Ψητό Βοδινό
Ham & Swiss Melt, Λιώμα Χοιρινό και Σουίς
Loaded Italian Sandwich, Γεμάτο Ιταλικό Σάντουιτς
Pecan Chicken Salad Flatbread, Πίτα Σαλάτα Κοτόπουλο με Πεκάν
Pecan Chicken Salad Sandwich, Σάντουιτς Σαλάτα Κοτόπουλο με Πεκάν
2 piece Prime-Cut Chicken Tenders, 2 Κομμάτια Τέντερς Κοτόπουλου Prime-Cut
3 piece Prime-Cut Chicken Tenders, 3 Κομμάτια Τέντερς Κοτόπουλου Prime-Cut
5 piece Prime-Cut Chicken Tenders, 5 Κομμάτια Τέντερς Κοτόπουλου Prime-Cut
Reuben Sandwich, Σάντουιτς Ρούμπεν
Roast Beef Gyro, Γύρος Ψητό Βοδινό
Roast Turkey & Swiss Sandwich, Σάντουιτς Ψητή Γαλοπούλα και Σουίς
Roast Turkey & Swiss Wrap, Γουράπ Ψητή Γαλοπούλα και Σουίς
Roast Turkey Ranch & Bacon Sandwich, Σάντουιτς Ψητή Γαλοπούλα με Ραντς και Μπέικον
Roast Turkey Ranch & Bacon Wrap, Γουράπ Ψητή Γαλοπούλα με Ραντς και Μπέικον
Smoke Mountain w/ Beef Short Rib, Σμόουκ Μάουντεν με Κοντό Βοδινό Πλευρό
Smokehouse Beef Short Rib Sandwich, Σάντουιτς Σμόκχαουζ με Κοντό Βοδινό Πλευρό
Smokehouse Brisket, Σάντουιτς Σμόκχαουζ Μπρίσκετ
Super Roast Beef, Σούπερ Ψητό Βοδινό
Three Cheese Steak Sandwich, Σάντουιτς Στέικ με Τρία Τυριά
Triple Decker Sandwich, Σάντουιτς Τριπλό Ντέκερ
Turkey Avocado Club, Σάντουιτς Κλαμπ Γαλοπούλα Αβοκάντο
Turkey Gyro, Γύρος Γαλοπούλα
Ultimate BLT, Σάντουιτς BLT Ούλτιμεϊτ
Buffalo Chicken Slider, Σλάιντερ Κοτόπουλο Μπάφαλο
Chicken Tender 'n Cheese Slider, Σλάιντερ Τέντερ Κοτόπουλο με Τυρί
Corned Beef 'n Cheese Slider, Σλάιντερ Κορν Μπιφ με Τυρί
Ham 'n Cheese Slider, Σλάιντερ Ζαμπόν με Τυρί
Jalapeno Roast Beef 'n Cheese Slider, Σλάιντερ Ψητό Βοδινό με Χαλαπένιο και Τυρί
Pizza Slider, Σλάιντερ Πίτσα
Roast Beef 'n Cheese Slider, Σλάιντερ Ψητό Βοδινό με Τυρί
Turkey 'n Cheese Slider, Σλάιντερ Γαλοπούλα με Τυρί
Chopped Side Salad, Ψιλοκομμένη Σαλάτα Στο Πλάι
Crispy Chicken Farmhouse Salad, Αγροτική Σαλάτα με Τραγανό Κοτόπουλο
Greek Gyro Salad, Σαλάτα Ελληνικός Γύρος
Roast Turkey Farmhouse Salad, Αγροτική Σαλάτα με Ψητή Γαλοπούλα
Super Greek Salad, Σούπερ Ελληνική Σαλάτα
American Brewhouse King, Αμερικάνικος Μπρίχαουζ Κινγκ
Bacon & Swiss Sourdough King, Μπέικον και Σουίς Σάουρντο Κινγκ
Bacon Cheeseburger, Τσίζμπεργκερ με Μπέικον
Bacon Cheeseburger Deluxe, Τσίζμπεργκερ με Μπέικον Ντελούξ
Bacon King, Μπέικον Κινγκ
Bacon King Jr, Μπέικον Κινγκ Τζούνιορ
BBQ Bacon King, Μπέικον BBQ Κινγκ
Cheeseburger, Τσίζμπεργκερ
Double Bacon Cheeseburger, Διπλό Τσίζμπεργκερ με Μπέικον
Double Cheeseburger, Διπλό Τσίζμπεργκερ
Double Hamburger, Διπλό Χάμπουργκερ
Double Quarter Pound King, Διπλό Κουόρτερ Πάουντ Κινγκ
Extra Long Cheeseburger, Έξτρα Μακρύ Τσίζμπεργκερ
Farmhouse King, Αγροτικός Κινγκ
Hamburger, Χάμπουργκερ
Homestyle Cheeseburger, Τσίζμπεργκερ Σπιτικού Στυλ
Jalapeno King Sandwich, Σάντουιτς Χαλαπένιο Κινγκ
Mushroom & Swiss King, Σάντουιτς Μανιτάρι και Σουίς Κινγκ
Rodeo Burger, Μπέργκερ Ροντέο
Rodeo King, Μπέργκερ Ροντέο Κινγκ
Sourdough King Single, Σάουρντο Κινγκ Μονό
Sourdough King Double, Σάουρντο Κινγκ Διπλό
Steakhouse King, Στέικχαουζ Κινγκ
Bacon & Cheese Whopper, Γουόπερ με Μπέικον και Τυρί
DOUBLE WHOPPER w/o Cheese, ΔΙΠΛΟ ΓΟΥΟΠΕΡ χωρίς Τυρί
DOUBLE WHOPPER w/ Cheese, ΔΙΠΛΟ ΓΟΥΟΠΕΡ με Τυρί
WHOPPER w/o Cheese, ΓΟΥΟΠΕΡ χωρίς Τυρί
WHOPPER w/ Cheese, ΓΟΥΟΠΕΡ με Τυρί
WHOPPER JR. w/o Cheese, ΓΟΥΟΠΕΡ ΤΖΟΥΝΙΟΡ χωρίς Τυρί
WHOPPER JR. w/ Cheese, ΓΟΥΟΠΕΡ ΤΖΟΥΝΙΟΡ με Τυρί
Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing, Σαλάτα Κοτόπουλο με Μπέικον Τσένταρ και Ραντς με Ψητό Κοτόπουλο και Ντρέσινγκ
Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing, Σαλάτα Κοτόπουλο με Μπέικον Τσένταρ και Ραντς με Τραγανό Κοτόπουλο και Ντρέσινγκ
Chicken BLT Salad w/ Grilled Chicken, Σαλάτα Κοτόπουλο BLT με Ψητό Κοτόπουλο
Chicken BLT Salad w/ Crispy Chicken, Σαλάτα Κοτόπουλο BLT με Τραγανό Κοτόπουλο
Chicken Caesar Salad w/ Grilled Chicken, Σαλάτα Κοτόπουλο Σίζαρ με Ψητό Κοτόπουλο
Chicken Caesar Salad w/ Crispy Chicken, Σαλάτα Κοτόπουλο Σίζαρ με Τραγανό Κοτόπουλο
Chicken Apple & Cranberry Salad w/ Grilled Chicken, Σαλάτα Κοτόπουλο Μήλο και Κράνμπερι με Ψητό Κοτόπουλο
Chicken Apple & Cranberry Salad w/ Crispy Chicken, Σαλάτα Κοτόπουλο Μήλο και Κράνμπερι με Τραγανό Κοτόπουλο
Garden Grilled Chicken Salad w/ Grilled Chicken no dressing, Σαλάτα Κήπου με Ψητό Κοτόπουλο χωρίς Ντρέσινγκ
Garden Grilled Chicken Salad w/ Crispy Chicken no dressing, Σαλάτα Κήπου με Τραγανό Κοτόπουλο χωρίς Ντρέσινγκ
Side Caesar Salad with dressing, Σαλάτα Σίζαρ Στο Πλάι με Ντρέσινγκ
Side Garden Salad and Avocado Ranch Dressing, Σαλάτα Κήπου Στο Πλάι με Ντρέσινγκ Ραντς Αβοκάντο
Bacon Cheddar Ranch Crispy Chicken Sandwich, Σάντουιτς Τραγανό Κοτόπουλο με Μπέικον Τσένταρ και Ραντς
BBQ Bacon Crispy Chicken Sandwich, Σάντουιτς Τραγανό Κοτόπουλο με Μπέικον και BBQ
Big Fish Sandwich, Σάντουιτς Μεγάλο Ψάρι
BK VEGGIE Burger, Μπέργκερ BK Λαχανικών
Chicken Burger, Μπέργκερ Κοτόπουλο
Chicken Cordon Bleu Sandwich, Σάντουιτς Κόρντον Μπλε Κοτόπουλο
Chicken Fries, Πατάτες Κοτόπουλο
4 Piece Chicken Nuggets, 4 Κομμάτια Κοτόπουλο Νάγκετς
6 Piece Chicken Nuggets, 6 Κομμάτια Κοτόπουλο Νάγκετς
20 Piece Chicken Nuggets, 20 Κομμάτια Κοτόπουλο Νάγκετς
Chicken Nuggets (10pc), Κοτόπουλο Νάγκετς (10 τμχ)
Chicken Parmesan Sandwich, Σάντουιτς Κοτόπουλο Παρμεζάνα
Crispy Buffalo Chicken Melt, Λιώμα Τραγανό Κοτόπουλο Μπάφαλο
Crispy Chicken Jr., Τραγανό Κοτόπουλο Τζούνιορ
Crispy Chicken Sandwich, Σάντουιτς Τραγανό Κοτόπουλο
Grilled Chicken Sandwich, Σάντουιτς Ψητό Κοτόπουλο
Grilled Chili Cheese Dog, Ψητό Χοτ Ντογκ Τσίλι και Τυρί
Grilled Hot Dog, Ψητό Χοτ Ντογκ
Jalapeno Chicken Fries, Πατάτες Κοτόπουλο Χαλαπένιο
Original Chicken Sandwich, Αυθεντικό Σάντουιτς Κοτόπουλο
Pretzel Chicken Fries, Πατάτες Κοτόπουλο Πρέτσελ
Rodeo Crispy Chicken Sandwich, Σάντουιτς Τραγανό Κοτόπουλο Ροντέο
Sourdough Chicken Club, Σάντουιτς Σάουρντο Κοτόπουλο Κλαμπ
4 Piece Spicy Chicken Nuggets, 4 Κομμάτια Καυτερά Κοτόπουλο Νάγκετς
Spicy Chicken Nuggets, Καυτερά Κοτόπουλο Νάγκετς
Spicy Crispy Chicken Jr., Καυτερό Τραγανό Κοτόπουλο Τζούνιορ
Spicy Crispy Chicken Sandwich, Σάντουιτς Καυτερό Τραγανό Κοτόπουλο
Spicy Crispy Jalapeno Chicken Sandwich, Σάντουιτς Καυτερό Τραγανό Κοτόπουλο με Χαλαπένιο
1/2 lb. FlameThrower GrillBurger, Μπέργκερ Grill Φλέιμθρόουερ 1/2 lb.
1/2 lb. GrillBurger with Cheese, Μπέργκερ Grill με Τυρί 1/2 lb.
1/4 lb. Bacon Cheese GrillBurger, Μπέργκερ Grill με Μπέικον και Τυρί 1/4 lb.
1/4 lb. GrillBurger with Cheese, Μπέργκερ Grill με Τυρί 1/4 lb.
1/4 lb. Mushroom Swiss GrillBurger, Μπέργκερ Grill με Μανιτάρι και Σουίς 1/4 lb.
Original Cheeseburger, Αυθεντικό Τσίζμπεργκερ
Original Double Cheeseburger, Αυθεντικό Διπλό Τσίζμπεργκερ
4 Piece Chicken Strip Basket w/ Country Gravy, Καλάθι με 4 Κομμάτια Κοτόπουλο Στριπς με Σάλτσα Κάντρι
6 Piece Chicken Strip Basket w/ Country Gravy, Καλάθι με 6 Κομμάτια Κοτόπουλο Στριπς με Σάλτσα Κάντρι
Bacon Cheese Dog, Χοτ Ντογκ με Μπέικον και Τυρί
Cheese Dog, Χοτ Ντογκ με Τυρί
Chili Cheese Dog, Χοτ Ντογκ με Τσίλι και Τυρί
Chili Dog, Χοτ Ντογκ με Τσίλι
Hot Dog, Χοτ Ντογκ
Relish Dog, Χοτ Ντογκ με Ρελίς
Barbecue Pork Sandwich, Σάντουιτς Χοιρινό BBQ
Breaded Mushrooms, Μανιτάρια με Πανάρισμα
Regular Cheese Curds, Κανονικές Τυρόμπαλες
Large Cheese Curds, Μεγάλες Τυρόμπαλες
Chili Cheese Mega Dog, Χοτ Ντογκ Μέγα με Τσίλι και Τυρί
Corn Dog, Κορν Ντογκ
Crispy Fish Sandwich, Σάντουιτς Τραγανό Ψάρι
Deluxe Cheeseburger, Τσίζμπεργκερ Ντελούξ
Deluxe Double Cheeseburger, Διπλό Τσίζμπεργκερ Ντελούξ
Deluxe Double Hamburger, Διπλό Χάμπουργκερ Ντελούξ
Deluxe Hamburger, Χάμπουργκερ Ντελούξ
DQ Ultimate Burger, Μπέργκερ DQ Ούλτιμεϊτ
Pork Tenderloin Sandwich, Σάντουιτς Χοιρινό Φιλέτο
Steak Finger Basket, Καλάθι με Στέικ Φίνγκερς
3 chicken strips Chicken Strips, 3 Κομμάτια Κοτόπουλο Στριπς
Chicken Bacon Ranch Sandwich, Σάντουιτς Κοτόπουλο Μπέικον και Ραντς
Chicken Mozzarella Sandwich, Σάντουιτς Κοτόπουλο Μοτσαρέλα
Crispy Chicken BLT Salad, Σαλάτα Τραγανό Κοτόπουλο BLT
Crispy Chicken Garden Greens Salad, Σαλάτα Τραγανό Κοτόπουλο Κηπουρού
Crispy Chicken Sandwich, Σάντουιτς Τραγανό Κοτόπουλο
Crispy Chicken Wrap, Γουράπ Τραγανό Κοτόπουλο
Grilled Chicken BLT Salad, Σαλάτα Ψητό Κοτόπουλο BLT
Grilled Chicken Garden Greens Salad, Σαλάτα Ψητό Κοτόπουλο Κηπουρού
Grilled Chicken Sandwich, Σάντουιτς Ψητό Κοτόπουλο
Grilled Chicken Wrap, Γουράπ Ψητό Κοτόπουλο
Side Salad, Σαλάτα Στο Πλάι
Turkey BLT Sandwich, Σάντουιτς Γαλοπούλα BLT
6" B.L.T., Σάντουιτς BLT 6"
Footlong B.L.T., Σάντουιτς BLT Φούτλονγκ
6" BBQ Rib Sandwich, Σάντουιτς BBQ Παϊδάκι 6"
Footlong BBQ Rib Sandwich, Σάντουιτς BBQ Παϊδάκι Φούτλονγκ
6" Big Hot Pastrami, Σάντουιτς Μεγάλο Παστράμι 6"
Footlong Big Hot Pastrami, Σάντουιτς Μεγάλο Παστράμι Φούτλονγκ
